CITY,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,PRCP1,PRCP2,PRCP3,PRCP4,PRCP5,PRCP6,PRCP7,PRCP8,PRCP9,PRCP10,PRCP11,PRCP12,SNOW1,SNOW2,SNOW3,SNOW4,SNOW5,SNOW6,SNOW7,SNOW8,SNOW9,SNOW10,SNOW11,SNOW12
Bangkok,21.5700416915,23.6317197452,25.2502658004,26.3177791641,25.8229892337,25.545448505,25.2796085859,25.0534263959,24.7324447334,24.5277399381,23.4286773795,21.4081015719,32.2104884319,33.0635540464,34.1448293692,35.2131564987,34.4070914697,33.3853489611,32.8630872483,32.6501799486,32.4211052632,32.2217662338,31.9955789474,31.5717708333,0.648191293685,1.20281124498,1.36195063215,2.87501512402,7.30836101883,5.59634551495,6.11317365269,7.18631239936,11.5272131148,8.81268656716,1.97122040073,0.357596513076,0,0,0,0,0,0,0,0,0,0,0,0
Baotou,-21.3536071617,-18.0093171296,-9.80042105263,-1.25694066413,5.76510031679,11.5087027915,14.7725303751,12.9655755016,6.24686989657,-1.36610437533,-10.5653405995,-18.4756572029,-7.02663891779,-2.77327241576,4.88605619147,13.8076344086,20.9666666667,25.8806989247,27.8697395833,25.5951612903,20.1509677419,12.7285119667,2.56094674556,-5.17303487767,0.0720942688806,0.118826979472,0.174423592493,0.267845303867,0.612579957356,1.13458605664,2.20734284205,2.22778366914,1.08893756846,0.430005339028,0.149474847982,0.0702673796791,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,4.67267198784,5.06036073826,7.01416063951,8.76153543307,12.0554244385,15.9283359498,18.7236882129,18.8514874142,16.5346855984,12.7770744886,8.39733067729,5.59575137687,10.4690494297,11.7095597484,14.2535034273,16.6816607635,20.3001902588,24.5150706436,27.6876712329,27.3404652937,23.89594485,19.0847876448,14.0507569721,10.9491809672,1.20518303733,1.4249296341,1.63856304985,1.7009469697,1.83936950147,1.23556818182,0.874450146628,1.49302929181,2.39398467433,2.61961438636,2.07841085271,1.46683976261,0,0,0,0,0,0,0,0,0,0,0,0
Beijing,-8.64213250518,-5.94725833804,0.183470648816,7.77882978723,13.8244593203,18.8091246684,22.0449230769,20.8537906137,14.8560234542,7.78238021638,-0.07152,-6.24771784232,1.65573770492,4.75772266065,11.5563813429,20.1967639257,26.5612621857,30.3559492332,31.1493073371,29.8715691352,25.9721215352,19.1424819773,10.0752665245,3.30225063939,0.0892506459948,0.214390934844,0.298240165631,0.755727224294,1.15043701799,2.58616684266,5.86953642384,5.58793456033,1.8686440678,0.779876160991,0.314592274678,0.077483099324,0,0,0,0,0,0,0,0,0,0,0,0
Beirut,1.67357466063,2.24467455621,4.32245266005,7.37532467532,10.5095878136,13.6285185185,15.5439461883,15.6477130045,13.4941666667,10.6031418312,6.73979591837,3.26994584838,10.6558394161,11.5740631164,16.1260595131,20.6772011121,25.4724572457,28.9758333333,31.0059139785,31.9258295964,29.880462963,25.2847533632,19.1096296296,13.0844003607,4.77619047619,4.84236453202,2.02992831541,1.44861111111,0.390770609319,0.0950925925926,0.0197132616487,0.0102150537634,0.0833333333333,0.784229390681,1.96935185185,4.28726457399,0,0,0,0,0,0,0,0,0,0,0,0
Bekasi,24.6757142857,24.7641826923,24.9956416465,25.1628297362,25.0041994751,24.8602777778,24.375,24.3776811594,24.8275773196,25.2468193384,25.3607594937,25.1741772152,32.3328947368,32.8627717391,33.0141752577,33.1579207921,32.7160305344,31.7410666667,30.698489426,30.7682692308,32.0898843931,32.5413612565,32.7863049096,32.6109289617,1.48564102564,0.654143646409,1.26075268817,3.6076142132,3.11508379888,5.0775147929,9.24609929078,6.4,3.93892215569,3.81636363636,1.98709677419,1.82857142857,0,0,0,0,0,0,0,0,0,0,0,0
Belgrade,-2.13946794592,-0.546389287422,3.07685265911,7.83316809374,12.3075850044,15.3821171171,16.9468613775,16.7408892764,13.2188288288,8.46721883173,4.12918918919,-0.0757628596338,3.95051546392,6.53542997543,11.9199820789,17.7031064413,22.7887759611,25.9183561644,28.0149801149,27.9642951834,23.9126940639,17.9389306231,11.0312356454,5.50152329749,1.51381865737,1.53864179818,1.49298169137,1.86130630631,2.27872711421,3.15481981982,2.09869224063,1.86551874455,1.6913963964,1.52502179599,1.97815315315,1.89620749782,0,0,0,0,0,0,0,0,0,0,0,0
Benin City,24.0869384359,25.3308181818,25.7665282392,25.3876923077,24.4385761589,23.6772532189,23.5910669975,23.2592687075,23.5459174715,23.6769294606,24.2166380789,23.9823383085,31.0163893511,31.791810737,32.2323920266,31.9641025641,31.0550496689,29.2699312715,28.0549295775,27.9245957447,28.688762072,29.7876245847,31.1465694683,31.2317842324,0.702072968491,1.19409090909,2.84859038143,4.16829059829,6.5576986755,11.9214224507,4.77262200165,1.38360237893,2.97866549605,4.76741108354,1.86695205479,0.457201986755,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,-2.41990740741,-2.09639175258,-0.121198156682,5.01333333333,9.59627906977,13.0014354067,14.6189189189,14.723655914,11.4611111111,6.6752688172,2.55444444444,0.282162162162,1.95231481481,3.29742268041,7.29032258065,13.88,18.7488372093,21.8071770335,22.9816216216,23.7935483871,19.6383333333,13.9177419355,7.03888888889,4.18162162162,1.44074074074,1.28883248731,0.850697674419,1.27571428571,1.89581395349,2.82238095238,2.04108108108,1.50860215054,1.755,0.829569892473,1.63764044944,1.49189189189,5.23222748815,5.55837563452,2.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.150537634409,1.32515337423,1.41847826087
Bogotá,5.49954751131,6.41901172529,7.62044581091,8.56735504369,8.73720030936,8.23620015637,7.8,7.44415686275,7.09863123994,7.61449612403,7.81872,6.45629860031,20.2213035019,20.3501066098,20.1640159046,19.8122345804,19.4885799404,18.9410986775,18.4894957983,18.7555907173,19.2363445378,19.4016966068,19.5321792261,19.8163653663,1.0807357212,1.78118006104,2.45427046263,3.69487402259,3.22688927944,1.99700440529,1.38494623656,1.56034019696,2.34437328454,3.51672413793,3.35604589585,2.07426796806,0,0,0,0,0,0,0,0,0,0,0,0
Brazzaville,16.9101977107,17.98875,19.9862217438,21.0769892473,21.128,21.1575268817,21.1481789802,21.1956670468,21.4080645161,21.5603141361,21.165691221,18.575625,26.6568158169,28.20875,30.1284176534,30.4825806452,30.2358888889,29.9472043011,30.214880333,30.9590649943,31.5258064516,31.4914136126,30.5019172553,28.11875,0.0373569198751,0.0986472424558,1.20752688172,4.35193548387,8.59788888889,5.58428417653,4.76659729448,4.49179019384,5.83074596774,6.20208768267,3.70373360242,0.191770833333,0,0,0,0,0,0,0,0,0,0,0,0
Brussels,-0.0813967673071,0.0362979980309,2.28738977072,4.67514090774,8.31223373633,11.0016388558,12.9422977253,12.8149046794,10.5492970386,7.20205761317,3.22706907281,0.84685767098,5.45391746411,6.54232991014,10.3516315334,14.0724637681,18.5868894602,21.2518366148,23.0644211718,22.6619195923,19.6913515098,14.7954831332,9.16819145713,6.05499394673,2.24306206089,1.96582480818,1.9796966161,1.87292984041,2.04319111631,2.27141992128,2.60964481663,2.42238675958,2.10909090909,2.29912917271,2.4977443609,2.53678094131,0,0,0,0,0,0,0,0,0,0,0,0
Budapest,-4.03655913978,-2.81849865952,0.796871945259,5.31151515152,9.8412512219,13.0888888889,14.465200391,13.9786412512,10.3121212121,5.71588465298,1.9398989899,-2.0742913001,1.87898943762,4.47406015038,10.3890379675,16.4289675516,21.6693120183,24.740560472,26.9300314017,26.471595775,22.1253687316,15.8878389951,8.38911504425,3.40019982872,1.07206560738,1.12191011236,1.0140296979,1.25894179894,1.79139784946,2.17365079365,1.93282130056,1.74111623144,1.44751322751,1.23394777266,1.69349206349,1.36041986687,0,0,0,0,0,0,0,0,0,0,0,0
